group,dev,s,row_idx,col_idx,time_ms,minors_tested,matrix,is_principal,prime
28,4,1,"1,2,3,12,23,26","1,2,9,10,12,16",78977.6389,595541700.0,kernel_28_27.txt,False,268435399
28,4,1,"1,2,8,10,15,21","1,2,10,20,25,28",79266.4841,595541700.0,kernel_28_28.txt,False,268435399
28,4,0,"0,1,2,5,16,24","0,1,3,15,17,21",37660.876,287539200.0,kernel_28_29.txt,False,268435399
28,4,0,"0,1,3,12,13,18","0,1,3,4,7,28",38320.2861,287539200.0,kernel_28_3.txt,False,268435399
28,4,0,"0,1,2,3,8,23","0,1,11,15,20,26",38289.8101,287539200.0,kernel_28_30.txt,False,268435399
28,4,0,"0,1,5,6,14,28","0,1,6,15,17,25",38329.1331,287539200.0,kernel_28_31.txt,False,268435399
28,4,0,"0,1,2,5,14,25","0,1,6,18,20,21",37979.2058,287539200.0,kernel_28_32.txt,False,268435399
28,4,0,"0,1,2,6,14,25","0,1,3,5,13,16",38661.0469,287539200.0,kernel_28_33.txt,False,268435399
28,4,0,"0,1,7,8,11,28","0,1,4,5,10,13",38001.3179,287539200.0,kernel_28_34.txt,False,268435399
28,4,1,"1,2,6,12,23,26","0,1,2,3,7,13",79176.302,595541700.0,kernel_28_35.txt,False,268435399
28,4,0,"0,1,2,7,8,23","0,1,16,18,25,26",41595.313,308002500.0,kernel_28_36.txt,False,268435399
28,4,0,"0,1,4,11,24,28","0,1,9,12,18,28",38007.51,287539200.0,kernel_28_37.txt,False,268435399
28,4,0,"0,1,2,5,8,9","0,1,2,4,16,28",37867.0542,287539200.0,kernel_28_38.txt,False,268435399
28,4,0,"0,1,11,13,16,23","0,1,6,14,19,28",38405.5801,287539200.0,kernel_28_39.txt,False,268435399
28,4,0,"0,1,6,11,21,26","0,1,2,13,15,22",38469.9341,287539200.0,kernel_28_4.txt,False,268435399
28,4,0,"0,1,10,12,20,26","0,1,11,19,21,27",38641.3408,287539200.0,kernel_28_40.txt,False,268435399
28,4,0,"0,1,5,13,16,27","0,1,3,4,6,23",38154.5969,287539200.0,kernel_28_41.txt,False,268435399
28,4,0,"0,1,8,15,16,19","0,1,8,19,27,28",37994.5901,287539200.0,kernel_28_42.txt,False,268435399
28,4,0,"0,1,2,10,19,28","0,1,3,8,9,28",37875.458,287539200.0,kernel_28_43.txt,False,268435399
28,4,0,"0,1,10,11,13,20","0,1,15,17,19,26",40971.126,308002500.0,kernel_28_44.txt,False,268435399
28,4,1,"1,2,12,14,16,25","1,2,15,17,19,20",83365.1072,616005000.0,kernel_28_45.txt,False,268435399
28,4,0,"0,1,2,11,12,15","0,1,9,17,20,28",37909.6208,287539200.0,kernel_28_46.txt,False,268435399
28,4,3,"1,3,4,5,12,21","3,4,13,14,22,23",161428.2012,1211546700.0,kernel_28_47.txt,False,268435399
28,4,0,"0,1,15,22,24,28","0,1,4,5,10,18",38514.1958,287539200.0,kernel_28_48.txt,False,268435399
28,4,1,"0,1,2,10,11,18","1,2,4,8,15,26",78986.926,595541700.0,kernel_28_49.txt,False,268435399
28,4,0,"0,1,2,5,6,20","0,1,11,14,15,16",38298.1511,287539200.0,kernel_28_5.txt,False,268435399
28,4,0,"0,1,5,19,24,28","0,1,14,19,24,27",41147.4639,308002500.0,kernel_28_50.txt,False,268435399
28,4,0,"0,1,4,12,18,25","0,1,6,8,11,26",38262.259,287539200.0,kernel_28_51.txt,False,268435399
28,4,1,"0,1,2,5,6,14","1,2,6,19,23,24",79242.387,595541700.0,kernel_28_52.txt,False,268435399
28,4,1,"1,2,3,11,25,28","1,2,13,18,24,26",79225.0369,595541700.0,kernel_28_53.txt,False,268435399
28,4,1,"1,2,19,26,27,28","0,1,2,11,23,25",79288.1731,595541700.0,kernel_28_54.txt,False,268435399
28,4,1,"1,2,5,7,9,21","1,2,5,6,20,21",79343.2959,595541700.0,kernel_28_55.txt,False,268435399
28,4,1,"1,2,5,9,17,23","1,2,3,7,25,27",79084.3718,595541700.0,kernel_28_56.txt,False,268435399
28,4,0,"0,1,5,13,15,25","0,1,3,6,14,16",38450.8508,287539200.0,kernel_28_57.txt,False,268435399
28,4,1,"1,2,8,17,19,22","1,2,5,9,13,26",79593.2678,595541700.0,kernel_28_58.txt,False,268435399
28,4,0,"0,1,2,13,20,25","0,1,2,4,14,18",38493.7971,287539200.0,kernel_28_59.txt,False,268435399
28,4,1,"1,2,3,10,12,25","1,2,7,15,23,26",79430.5579,595541700.0,kernel_28_6.txt,False,268435399
28,4,0,"0,1,8,9,14,24","0,1,13,14,18,28",38467.0239,287539200.0,kernel_28_60.txt,False,268435399
28,4,0,"0,1,2,11,21,28","0,1,8,16,18,21",38778.4211,287539200.0,kernel_28_61.txt,False,268435399
28,4,1,"1,2,8,11,17,21","1,2,4,7,12,28",78974.5671,595541700.0,kernel_28_62.txt,False,268435399
28,4,0,"0,1,2,14,24,27","0,1,2,5,9,27",37992.1951,287539200.0,kernel_28_63.txt,False,268435399
28,4,0,"0,1,3,5,18,27","0,1,9,14,15,18",38582.1321,287539200.0,kernel_28_64.txt,False,268435399
28,4,2,"2,3,11,13,15,16","1,2,3,17,20,25",120646.0688,903544200.0,kernel_28_65.txt,False,268435399
28,4,0,"0,1,7,21,24,28","0,1,5,9,12,18",38099.842,287539200.0,kernel_28_66.txt,False,268435399
28,4,1,"0,1,2,3,17,20","1,2,4,13,23,28",79308.167,595541700.0,kernel_28_67.txt,False,268435399
28,4,0,"0,1,6,12,14,25","0,1,2,4,10,12",37898.2271,287539200.0,kernel_28_68.txt,False,268435399
28,4,2,"2,3,4,18,19,24","0,2,3,10,15,21",120997.991,903544200.0,kernel_28_69.txt,False,268435399
28,4,0,"0,1,6,10,24,27","0,1,5,13,15,22",38688.5278,287539200.0,kernel_28_7.txt,False,268435399
28,4,0,"0,1,8,10,17,25","0,1,9,10,11,26",38482.3289,287539200.0,kernel_28_70.txt,False,268435399
28,4,0,"0,1,4,16,18,21","0,1,4,6,17,24",38011.2341,287539200.0,kernel_28_71.txt,False,268435399
28,4,2,"0,2,3,8,14,15","2,3,4,6,12,17",121037.115,903544200.0,kernel_28_72.txt,False,268435399
28,4,1,"0,1,2,7,19,22","1,2,4,9,26,27",80051.8821,595541700.0,kernel_28_73.txt,False,268435399
28,4,4,"4,5,9,10,17,26","4,5,10,13,14,19",203132.4441,1519549200.0,kernel_28_74.txt,False,268435399
28,4,0,"0,1,3,10,14,19","0,1,14,15,21,25",37931.064,287539200.0,kernel_28_75.txt,False,268435399
28,4,0,"0,1,9,15,16,26","0,1,7,9,16,18",38462.4739,287539200.0,kernel_28_76.txt,False,268435399
28,4,0,"0,1,12,16,23,28","0,1,17,22,24,28",41217.2129,308002500.0,kernel_28_77.txt,False,268435399
28,4,2,"2,3,6,13,21,26","0,2,3,9,24,28",120189.635,903544200.0,kernel_28_78.txt,False,268435399
