Processing 3x3 minors...
Matrix size: 9x9
Total minors: 7056
Rows: 0 1 6 | Cols: 0 2 6 | Det: 106194
Rows: 0 1 6 | Cols: 0 2 7 | Det: 9570
Rows: 0 1 6 | Cols: 0 2 8 | Det: 137676
Rows: 0 1 6 | Cols: 0 3 4 | Det: 259063
Rows: 0 1 6 | Cols: 0 3 5 | Det: -325689
Rows: 0 1 6 | Cols: 0 3 6 | Det: 497820
Rows: 0 1 6 | Cols: 0 3 7 | Det: 344535
Rows: 0 1 6 | Cols: 0 3 8 | Det: 431207
Rows: 0 1 6 | Cols: 0 4 5 | Det: -356538
Rows: 0 1 6 | Cols: 0 4 6 | Det: 420979
Rows: 0 1 6 | Cols: 0 4 7 | Det: 221905
Rows: 0 1 6 | Cols: 0 4 8 | Det: 414288
Rows: 0 1 6 | Cols: 0 5 6 | Det: 155883
Rows: 0 1 6 | Cols: 0 5 7 | Det: 195195
Rows: 0 1 6 | Cols: 0 5 8 | Det: 72618
Rows: 0 1 6 | Cols: 0 6 7 | Det: -133455
Rows: 0 1 6 | Cols: 0 6 8 | Det: 95389
Rows: 0 1 6 | Cols: 0 7 8 | Det: 181615
Rows: 0 1 6 | Cols: 1 2 3 | Det: -115280
Rows: 0 1 6 | Cols: 1 2 4 | Det: -338012
Rows: 0 1 6 | Cols: 1 2 5 | Det: 301380
Rows: 0 1 6 | Cols: 1 2 6 | Det: 44960
Rows: 0 1 6 | Cols: 1 2 7 | Det: -12724
Rows: 0 1 6 | Cols: 1 2 8 | Det: 128444
Rows: 0 1 6 | Cols: 1 3 4 | Det: -264656
Rows: 0 1 6 | Cols: 1 3 5 | Det: 383920
Rows: 0 1 6 | Cols: 1 3 6 | Det: 231360
Rows: 0 1 6 | Cols: 1 3 7 | Det: 141248
Rows: 0 1 6 | Cols: 1 3 8 | Det: 298752
Rows: 0 1 6 | Cols: 1 4 5 | Det: 433792
Rows: 0 1 6 | Cols: 1 4 6 | Det: 575152
Rows: 0 1 6 | Cols: 1 4 7 | Det: 443364
Rows: 0 1 6 | Cols: 1 4 8 | Det: 581092
Rows: 0 1 6 | Cols: 1 5 6 | Det: -455120
Rows: 0 1 6 | Cols: 1 5 7 | Det: -411644
Rows: 0 1 6 | Cols: 1 5 8 | Det: -353276
Rows: 0 1 6 | Cols: 1 6 7 | Det: -80624
Rows: 0 1 6 | Cols: 1 6 8 | Det: 141264
Rows: 0 1 6 | Cols: 1 7 8 | Det: 190352
Rows: 0 1 6 | Cols: 2 3 4 | Det: 236306
Rows: 0 1 6 | Cols: 2 3 5 | Det: -328110
Rows: 0 1 6 | Cols: 2 3 6 | Det: 5640
Rows: 0 1 6 | Cols: 2 3 7 | Det: 15342
Rows: 0 1 6 | Cols: 2 3 8 | Det: -54722
Rows: 0 1 6 | Cols: 2 4 5 | Det: -344268
Rows: 0 1 6 | Cols: 2 4 6 | Det: 108698
Rows: 0 1 6 | Cols: 2 4 7 | Det: 18902
Rows: 0 1 6 | Cols: 2 4 8 | Det: 102840
Rows: 0 1 6 | Cols: 2 5 6 | Det: -142710
Rows: 0 1 6 | Cols: 2 5 7 | Det: -3894
Rows: 0 1 6 | Cols: 2 5 8 | Det: -222516
Rows: 0 1 6 | Cols: 2 6 7 | Det: -6606
Rows: 0 1 6 | Cols: 2 6 8 | Det: 27626
Rows: 0 1 6 | Cols: 2 7 8 | Det: 11054
Rows: 0 1 6 | Cols: 3 4 5 | Det: 33712
Rows: 0 1 6 | Cols: 3 4 6 | Det: 487200
Rows: 0 1 6 | Cols: 3 4 7 | Det: 324758
Rows: 0 1 6 | Cols: 3 4 8 | Det: 486766
Rows: 0 1 6 | Cols: 3 5 6 | Det: -677280
Rows: 0 1 6 | Cols: 3 5 7 | Det: -453114
Rows: 0 1 6 | Cols: 3 5 8 | Det: -668066
Rows: 0 1 6 | Cols: 3 6 7 | Det: -23880
Rows: 0 1 6 | Cols: 3 6 8 | Det: 124440
Rows: 0 1 6 | Cols: 3 7 8 | Det: 106808
Rows: 0 1 6 | Cols: 4 5 6 | Det: -725296
Rows: 0 1 6 | Cols: 4 5 7 | Det: -475828
Rows: 0 1 6 | Cols: 4 5 8 | Det: -723828
Rows: 0 1 6 | Cols: 4 6 7 | Det: 110414
Rows: 0 1 6 | Cols: 4 6 8 | Det: 11878
Rows: 0 1 6 | Cols: 4 7 8 | Det: -102398
Rows: 0 1 6 | Cols: 5 6 7 | Det: -189042
Rows: 0 1 6 | Cols: 5 6 8 | Det: 168742
Rows: 0 1 6 | Cols: 5 7 8 | Det: 299362
Rows: 0 1 6 | Cols: 6 7 8 | Det: -28784
Rows: 0 1 7 | Cols: 0 1 2 | Det: -194400
Rows: 0 1 7 | Cols: 0 1 3 | Det: -18956
Rows: 0 1 7 | Cols: 0 1 4 | Det: 271690
Rows: 0 1 7 | Cols: 0 1 5 | Det: -27228
Rows: 0 1 7 | Cols: 0 1 6 | Det: -190054
Rows: 0 1 7 | Cols: 0 1 7 | Det: -218488
Rows: 0 1 7 | Cols: 0 1 8 | Det: 14714
Rows: 0 1 7 | Cols: 0 2 3 | Det: 146132
Rows: 0 1 7 | Cols: 0 2 4 | Det: 41570
Rows: 0 1 7 | Cols: 0 2 5 | Det: 115716
Rows: 0 1 7 | Cols: 0 2 6 | Det: -85262
Rows: 0 1 7 | Cols: 0 2 7 | Det: -11864
Rows: 0 1 7 | Cols: 0 2 8 | Det: -118958
Rows: 0 1 7 | Cols: 0 3 4 | Det: 208285
Rows: 0 1 7 | Cols: 0 3 5 | Det: -9184
Rows: 0 1 7 | Cols: 0 3 6 | Det: -151179
Rows: 0 1 7 | Cols: 0 3 7 | Det: -165396
Rows: 0 1 7 | Cols: 0 3 8 | Det: -539
Rows: 0 1 7 | Cols: 0 4 5 | Det: -167545
Rows: 0 1 7 | Cols: 0 4 6 | Det: 78520
Rows: 0 1 7 | Cols: 0 4 7 | Det: -30140
Rows: 0 1 7 | Cols: 0 4 8 | Det: 169400
Rows: 0 1 7 | Cols: 0 5 6 | Det: -125071
Rows: 0 1 7 | Cols: 0 5 7 | Det: -131716
Rows: 0 1 7 | Cols: 0 5 8 | Det: -7903
Rows: 0 1 7 | Cols: 0 6 7 | Det: 84228
Rows: 0 1 7 | Cols: 0 6 8 | Det: -122752
Rows: 0 1 7 | Cols: 0 7 8 | Det: -134596
