Processing 2x2 minors...
Matrix size: 9x9
Total minors: 1296
Rows: 0 7 | Cols: 5 6 | Det: -1088
Rows: 0 7 | Cols: 5 7 | Det: -2148
Rows: 0 7 | Cols: 5 8 | Det: 2076
Rows: 0 7 | Cols: 6 7 | Det: -1191
Rows: 0 7 | Cols: 6 8 | Det: 3049
Rows: 0 7 | Cols: 7 8 | Det: 3747
Rows: 0 8 | Cols: 0 1 | Det: 7435
Rows: 0 8 | Cols: 0 2 | Det: 1035
Rows: 0 8 | Cols: 0 3 | Det: 850
Rows: 0 8 | Cols: 0 4 | Det: 5030
Rows: 0 8 | Cols: 0 5 | Det: 4210
Rows: 0 8 | Cols: 0 6 | Det: 3100
Rows: 0 8 | Cols: 0 7 | Det: -370
Rows: 0 8 | Cols: 0 8 | Det: 5580
Rows: 0 8 | Cols: 1 2 | Det: -4256
Rows: 0 8 | Cols: 1 3 | Det: -5011
Rows: 0 8 | Cols: 1 4 | Det: 594
Rows: 0 8 | Cols: 1 5 | Det: -6048
Rows: 0 8 | Cols: 1 6 | Det: -6117
Rows: 0 8 | Cols: 1 7 | Det: -5971
Rows: 0 8 | Cols: 1 8 | Det: -5360
Rows: 0 8 | Cols: 2 3 | Det: -211
Rows: 0 8 | Cols: 2 4 | Det: 2962
Rows: 0 8 | Cols: 2 5 | Det: 1568
Rows: 0 8 | Cols: 2 6 | Det: 923
Rows: 0 8 | Cols: 2 7 | Det: -1043
Rows: 0 8 | Cols: 2 8 | Det: 2448
Rows: 0 8 | Cols: 3 4 | Det: 3458
Rows: 0 8 | Cols: 3 5 | Det: 2146
Rows: 0 8 | Cols: 3 6 | Det: 1390
Rows: 0 8 | Cols: 3 7 | Det: -932
Rows: 0 8 | Cols: 3 8 | Det: 3148
Rows: 0 8 | Cols: 4 5 | Det: -4428
Rows: 0 8 | Cols: 4 6 | Det: -4386
Rows: 0 8 | Cols: 4 7 | Det: -4010
Rows: 0 8 | Cols: 4 8 | Det: -4072
Rows: 0 8 | Cols: 5 6 | Det: -942
Rows: 0 8 | Cols: 5 7 | Det: -3682
Rows: 0 8 | Cols: 5 8 | Det: 1504
Rows: 0 8 | Cols: 6 7 | Det: -2794
Rows: 0 8 | Cols: 6 8 | Det: 2356
Rows: 0 8 | Cols: 7 8 | Det: 4748
Rows: 1 2 | Cols: 0 1 | Det: -3671
Rows: 1 2 | Cols: 0 2 | Det: 2010
Rows: 1 2 | Cols: 0 3 | Det: -6394
Rows: 1 2 | Cols: 0 4 | Det: -1264
Rows: 1 2 | Cols: 0 5 | Det: -5111
Rows: 1 2 | Cols: 0 6 | Det: 259
Rows: 1 2 | Cols: 0 7 | Det: 1215
